time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
401720.6952284756	26.0	0	3.9241769	-90.006729	0.9871088947296144	
401721.2396280579	26.0	0	3.9231269	-90.009918	1.000720022458818	
401721.8414276131	26.0	0	3.9221153	-90.007362	1.015766288923899	
401722.4224271812	26.0	0	3.9211035	-90.007362	1.03029251728397	
401723.0022267513	26.0	0	3.9200916	-90.012466	1.044788738515218	
401723.5660263314	26.0	0	3.9190798	-90.008644	1.058884930506812	
401724.1354259104	26.0	0	3.9180491	-90.007362	1.073121157399072	
401724.771425426	26.0	0	3.9170182	-90.006096	1.08902251603614	
401725.3456250053	26.0	0	3.9160063	-90.002274	1.103378764973959	
401725.9628245393	26.0	0	3.9149945	-90.015007	1.118810091968113	
401726.5692240978	26.0	0	3.9139638	-90.004814	1.133971412447612	
401727.2010236233	26.0	0	3.9129519	-90.013741	1.149767779990302	
401727.8282231539	26.0	0	3.9119401	-90.012466	1.165449151502821	
401728.4598226771	26.0	0	3.9109282	-90.005455	1.181240514098697	
401729.0802222192	26.0	0	3.9098785	-90.014374	1.196751836869134	
401729.6986217648	26.0	0	3.9088666	-90.009918	1.212213139491187	
401730.3556212746	26.0	0	3.9078548	-90.004181	1.228639540720198	
401731.0252207671	26.0	0	3.9068429	-90.011833	1.245380976005978	
401731.6598203008	26.0	0	3.9058313	-90.006096	1.26124733914778	
401732.2960198261	26.0	0	3.9048195	-90.007362	1.277153723745982	
401733.0040193	26.0	0	3.9037886	-90.002907	1.294855243456947	
401733.6914187875	26.0	0	3.9027767	-90.009277	1.312041672035218	
401734.3190183234	26.0	0	3.9017651	-90.009918	1.327732973264059	
401735.050817769	26.0	0	3.900677	-90.008003	1.346029529980978	
401735.7792172283	26.0	0	3.8995888	-90.0131	1.364241065739526	
401736.4864167012	26.0	0	3.898577	-90.008003	1.381922537961324	
401737.2218161572	26.0	0	3.8975461	-90.005455	1.400309035345714	
401737.9362156219	26.0	0	3.8965342	-90.008644	1.418170494539049	
401738.6708150767	26.0	0	3.8954844	-90.008003	1.436537019822015	
401739.4106145268	26.0	0	3.8944726	-90.009277	1.455033555887435	
401740.1616139687	26.0	0	3.8934417	-90.005455	1.473810090079838	
401740.9008134101	26.0	0	3.8923917	-90.007362	1.492291633446588	
401741.6514128516	26.0	0	3.8913798	-90.009918	1.511058201875475	
401742.3880123086	26.0	0	3.8903491	-90.004814	1.529474752497356	
401743.1720117219	26.0	0	3.8893373	-90.010551	1.549076396340688	
401743.9292111509	26.0	0	3.8883255	-90.010551	1.568008015382555	
401744.6632106169	26.0	0	3.8873136	-89.997169	1.586359559904311	
401745.4424100337	26.0	0	3.8862829	-90.014374	1.605841223152161	
401746.2622094229	26.0	0	3.8852711	-90.009918	1.626337972730849	
401747.0480088331	26.0	0	3.8842402	-90.004181	1.645984618438297	
401747.8618082255	26.0	0	3.8832092	-90.008003	1.666331317436219	
401748.651007636	26.0	0	3.8821976	-90.006096	1.686062999468486	
401749.385807097	26.0	0	3.8811667	-90.002907	1.704434584736718	
401750.3288063891	26.0	0	3.8801548	-90.006729	1.728011591270447	
401751.1618057732	26.0	0	3.879143	-90.007362	1.748838285462698	
401751.9010052145	26.0	0	3.8781314	-90.008644	1.767319797709995	
401752.737004593	26.0	0	3.8771195	-90.004181	1.788221527546777	
401753.6122039407	26.0	0	3.8761077	-90.012466	1.810103305851831	
401754.5016032822	26.0	0	3.8750768	-90.005455	1.832340088306003	
401755.3916026168	26.0	0	3.8739696	-90.006096	1.854591900461409	
401756.3082019323	26.0	0	3.8729579	-90.004181	1.877508796781328	
401757.1654013023	26.0	0	3.871927	-89.999718	1.898940527950711	
401758.0762006193	26.0	0	3.870877	-90.009918	1.921712417745802	
401758.9499999695	26.0	0	3.8698461	-90.007362	1.943559235266368	
401759.9063992539	26.0	0	3.868758	-90.010551	1.967471276018355	
401760.8831985332	26.0	0	3.8677461	-90.008003	1.991893391103109	
401761.7767978576	26.0	0	3.8667154	-90.006729	2.014235247531891	
401762.7107971571	26.0	0	3.8656845	-90.009918	2.037587213901096	
401763.6449964643	26.0	0	3.8646345	-90.008644	2.060944140862359	
401764.5863957605	26.0	0	3.8636227	-90.010551	2.084481098831177	
401765.5205950662	26.0	0	3.8626108	-90.006729	2.107838017400106	
401766.4689943647	26.0	0	3.8615611	-90.008003	2.131550005903456	
401767.4833936095	26.0	0	3.8605492	-90.008644	2.156912099669139	
401768.4301928966	26.0	0	3.8595374	-90.007362	2.1805840831053	
401769.4043921757	26.0	0	3.8585255	-90.00354	2.204941147774591	
401770.3503914783	26.0	0	3.8575139	-90.0131	2.228593095294952	
401771.3539907299	26.0	0	3.8565021	-90.011833	2.253685196432325	
401772.3307899944	26.0	0	3.8554711	-90.008644	2.278107293171353	
401773.3307892494	26.0	0	3.8544402	-90.009918	2.303109411140018	
401774.355588492	26.0	0	3.8534286	-90.009918	2.328731544559479	
401775.3865877241	26.0	0	3.8524168	-90.008003	2.354508657089657	
401776.3617869914	26.0	0	3.8514049	-90.006729	2.378890674623702	
401777.370186239	26.0	0	3.8503931	-90.008003	2.404102762493981	
401778.3751854934	26.0	0	3.8493433	-90.006729	2.429229910999722	
401779.4855846651	26.0	0	3.8483315	-90.0131	2.456992243852403	
401780.4519839473	26.0	0	3.8473196	-90.006729	2.48115429559199	
401781.5185831487	26.0	0	3.8463078	-90.009277	2.507821541679382	
401782.5691823745	26.0	0	3.8452961	-90.006096	2.534088744977739	
